Source,Target
8826,1910
8826,6281
8826,8667
1910,5019
1910,1222
7659,1
7659,3795
7659,353
7659,11
1,11
1,353
1,3795
2,607
2,30
2,407
2,5602
2,403
607,407
607,638
342,3
342,193
342,14
342,140
342,96
342,340
3,4
3,14
3,193
3,96
4,251
4,193
4,14
4,5239
4,958
8302,754
8302,421
8302,3840
8302,7963
8302,9078
8302,7639
8302,8608
8302,2266
8302,5529
6,722
6,579
6,6012
6,7230
6,283
6,194
6,6822
722,3006
722,4411
722,283
722,9068
722,5873
722,7336
722,9444
5537,870
5537,4919
5537,7423
870,2637
870,3962
8,7464
8,225
8,123
8,6376
8,8622
8,1962
8,6332
8,3622
8,2274
7464,1962
7464,2061
7464,6332
7464,5475
7464,3433
7464,7248
7464,478
7464,1275
7464,3767
7464,6063
7464,5585
9,2031
9,6005
9,5522
9,2706
9,7806
9,7266
9,5865
9,1125
2031,544
2031,705
2031,1459
2031,2526
2031,5877
2031,570
2031,4980
2031,4862
2031,5522
2031,8812
2031,2827
2031,5516
2031,5100
2031,5433
2031,3024
407,518
407,183
407,121
407,436
407,372
11,353
11,1309
11,5602
11,8487
11,1041
353,2273
353,5602
353,9355
353,8487
353,7625
3094,5153
3094,1738
3094,5152
5153,8215
13,784
13,1162
13,3811
13,3605
13,4590
13,875
784,1162
784,890
784,1060
784,4820
784,7900
784,3811
784,6759
784,7228
784,8540
14,6902
14,6737
14,4909
15,4343
15,3430
15,8900
15,8294
15,1467
15,1433
15,3975
15,4334
15,6637
15,8464
4343,1817
4343,7297
4343,7269
4343,297
4343,8900
16,7159
16,1628
16,9321
16,8261
16,8314
16,4917
16,7117
7159,161
7159,8187
7159,1628
7159,1713
7159,4287
7159,2409
7159,3525
7159,6564
7159,6324
7159,103
17,2941
17,8824
17,4827
17,1417
17,4074
17,2622
17,6179
17,156
17,6934
2941,156
2941,4074
2941,2651
2941,4257
18,1351
18,9064
18,7370
18,5872
18,2583
18,5380
18,3499
18,2008
1351,5528
1351,2888
1351,394
1351,5380
1351,5194
1351,1948
1351,4840
1351,6608
1351,891
1351,9063
1351,7980
9072,6737
9072,3338
9072,7729
9072,2958
20,21
20,591
20,6736
20,4201
20,33
20,62
20,3526
21,3382
21,7350
21,28
21,9427
21,337
21,399
21,4160
3382,5104
3382,2997
3382,6155
3382,5764
3382,2523
3382,6736
23,5344
23,2551
23,3280
23,4006
23,6388
23,7662
5344,3883
5344,4381
5344,6388
5344,3882
5344,3280
24,4728
24,3857
24,3883
24,7240
24,6971
24,3088
24,2551
24,4975
4728,2551
4728,2846
4728,6388
4728,766
4728,5318
4728,4975
4728,4708
4728,1726
4728,6285
4728,7525
8392,6594
8392,25
8392,1716
8392,7367
8392,5875
5909,1269
5909,144
5909,2457
5909,2402
5909,5098
5909,576
1269,2457
1269,2402
27,7831
27,8908
27,3249
27,1833
27,8362
27,4961
7831,3028
7831,7147
7831,8713
7831,3249
7831,7571
7831,4507
7831,8724
7831,5365
7831,2165
7831,7631
28,33
28,2814
33,46
33,99
29,2491
29,7238
29,3109
29,4895
29,4896
29,4897
29,8327
29,2423
29,2340
29,4238
29,618
29,5630
29,5708
2491,6723
2491,3973
2491,8311
2491,618
2491,4895
2491,7313
2491,8327
7732,9292
7732,5269
7732,5823
7732,6418
7732,7341
7732,9298
7732,31
7732,4131
7732,8638
7732,9018
7732,4043
7732,3494
7732,4140
7732,5550
7732,4077
7732,1734
7732,5593
7732,7632
7732,4084
7732,6427
7732,7731
7732,7967
7732,8852
7732,3172
7732,1458
7732,5319
9292,5823
9292,6418
9292,9298
9292,3826
9292,5269
9292,4131
9292,5550
9292,7341
9292,8638
9292,508
9292,3494
9292,4140
9292,7967
9292,9018
32,458
32,46
32,7793
32,6658
32,4740
32,3696
32,3827
458,2879
458,6937
458,7793
458,6658
458,6370
458,9188
458,4740
458,1589
458,3696
458,3827
458,7180
458,1586
34,6123
34,4344
34,5995
34,8543
34,3398
34,2863
6123,3397
6123,396
6123,1750
6123,3398
6123,2863
6123,3460
6123,2931
6123,1785
165,1656
165,3185
165,770
165,8199
165,6894
165,1014
165,6481
165,2936
1656,9276
36,2476
36,3526
36,6871
36,6143
36,4794
36,1947
36,2207
36,5005
36,6814
36,4258
2476,2521
2476,4794
2476,6814
2476,1347
2476,2207
2476,5005
2476,4356
2476,6238
2476,7654
2476,8803
2476,2694
2476,3649
2476,8828
2476,4683
2476,5719
2476,8289
37,5475
37,2629
37,6174
37,9036
37,1372
37,2061
37,8941
5475,1962
5475,2932
5475,4283
5475,8170
5475,1893
5475,5621
38,1189
38,8261
38,5004
38,1384
38,9012
38,2520
1189,2172
1189,2411
1189,4946
1189,8230
1189,9294
1189,7227
1189,3037
1189,1384
1189,3495
39,1825
39,3004
39,2755
39,2453
39,9116
39,6512
39,9166
1825,9333
1825,8888
1825,5956
1825,8642
1825,9335
40,182
40,68
40,247
40,646
40,643
40,496
40,403
182,263
182,643
182,276
182,68
182,274
182,480
182,30
182,637
41,3110
41,84
41,4840
41,8854
41,7319
41,6608
41,1880
41,5000
3110,6608
3110,3854
3110,3593
3110,1868
3110,2091
3110,1387
42,7451
42,429
42,7092
42,7234
42,1231
42,8865
42,8101
42,116
42,2815
42,2599
7451,5388
7451,2599
7451,8306
7451,2467
7451,3576
7451,8151
7451,1490
7451,7092
7451,9198
7451,2815
7451,8865
45,3266
45,7401
45,4667
45,1081
45,3294
45,8777
3266,7283
3266,4710
3266,2912
46,2814
46,134
46,372
46,324
46,582
47,5551
47,4284
47,3076
47,7253
47,8823
47,9424
47,9006
47,2942
5551,5416
5551,9344
5551,3629
5551,7931
5551,142
5551,1885
5551,2150
5551,2629
5551,9424
3125,6731
3125,3705
6731,2039
49,8030
49,6002
49,6856
49,3547
49,5451
49,128
49,6332
49,1747
49,2295
49,4846
49,7917
49,7334
49,3070
49,7217
8030,1419
8030,2355
8030,5451
8030,3547
8030,8890
8030,6826
8030,7543
8030,9100
8030,4018
8030,6856
8030,8571
8030,7029
8030,7402
8030,9231
50,1600
50,7209
50,1782
50,1428
50,5381
50,4389
1600,1782
1600,2946
1600,7304
1600,974
1600,4437
1600,6812
1600,7291
1600,3113
1600,2769
1600,7209
1600,3076
1600,3311
1600,4658
1600,8987
1600,2875
1600,4640
51,1879
51,2249
51,3151
51,5737
51,199
51,5734
51,9140
51,76
1879,76
1879,1230
1879,3880
1879,1651
1879,8970
1879,8730
1879,370
1879,834
1879,9287
1879,7193
52,1487
52,8504
52,6527
52,2922
52,5198
52,7152
52,4163
52,5894
52,9121
52,85
1487,5894
1487,8504
1487,9177
1487,6079
1487,2366
1487,2855
1487,4662
1487,6307
1487,6527
1487,7272
1487,9104
1487,9257
1487,1345
1487,2532
1487,2830
1487,5198
1487,6598
1487,4914
53,8062
53,2125
53,5997
53,1577
53,3731
53,6786
53,7821
53,6016
8062,1577
8062,2125
8062,5997
8062,3731
8062,6786
8062,7821
8062,3836
54,4335
54,125
54,2622
54,4827
54,1459
54,2899
54,3003
54,6660
54,156
54,1809
54,3366
54,7910
54,8878
54,4074
54,4257
54,5440
54,9341
54,2651
54,8824
54,1913
54,3409
54,6855
54,7331
54,7558
54,7896
4335,125
4335,1459
4335,3003
4335,3409
4335,2700
4335,6660
4335,1809
4335,8824
4335,1298
4335,4827
4335,5173
4335,7910
4335,9341
4335,1913
4335,4074
4335,7331
4335,7896
4710,9299
4710,1078
9299,3632
9299,1382
56,7282
56,523
56,8795
56,1314
56,9213
56,349
56,6848
56,8166
56,1582
7282,1314
7282,3295
7282,8795
7282,4484
7282,9213
7282,874
7282,5705
7282,9353
7282,1582
7282,6848
7282,3009
7282,5853
7282,7183
7282,9070
7282,3617
7282,8606
7282,9055
4508,4385
4508,304
4508,1411
4508,2921
4508,4787
4508,5442
4508,4259
4508,4347
4508,4478
4385,4643
4385,1646
4385,3320
58,132
58,230
58,6094
58,1088
58,480
58,2647
58,5296
132,265
132,2305
132,3752
132,4627
132,4104
132,8927
6137,4804
6137,6603
6137,4161
6137,6346
6137,2511
4804,859
4804,7682
61,7492
61,1254
61,5771
61,3737
61,5162
61,4149
61,3238
7492,791
7492,7671
7492,4766
7492,2766
7492,5231
7492,3089
7492,7598
62,9442
62,99
62,7561
62,2874
62,4695
62,8995
62,2325
62,6767
9442,2325
9442,6870
9442,7103
9442,2942
9442,7083
9442,1639
9442,1220
9442,2753
63,8339
63,4830
63,100
63,6632
63,9153
63,6924
63,2518
63,2708
8339,1652
8339,176
8339,3267
8339,2708
8339,8700
8339,1230
8339,9287
64,6674
64,4163
64,7152
64,956
64,9121
64,5051
6674,7152
6674,941
6674,1887
6674,9121
6674,8268
6674,1144
6674,5588
6674,9085
65,2975
65,5254
65,7061
65,6911
65,1244
65,7562
65,8896
65,2298
65,4416
2975,541
2975,2446
2975,8521
2975,2233
2975,8278
2975,4172
2975,7283
68,6195
68,296
68,4315
68,500
69,811
69,6282
69,5571
69,925
69,6186
69,1763
811,748
811,6282
811,839
811,925
811,5230
811,6295
811,5815
811,7894
811,1211
811,1887
811,810
811,8880
811,941
2297,8787
2297,7739
2297,5925
2297,8055
2297,3479
2297,2319
2297,2447
2297,7909
2297,9411
2297,749
2297,2118
2297,2151
2297,2186
2297,2306
2297,3629
2297,3828
2297,3919
2297,3955
2297,5056
2297,6807
2297,3602
2297,3947
2297,7533
8787,2447
8787,2118
8787,2186
8787,3955
8787,7739
8787,8055
8787,9411
8787,2306
8787,3947
8787,5056
8787,3479
8787,5925
8787,749
8787,3629
8787,3919
8787,5472
8787,6807
71,1117
71,550
71,2987
71,325
71,257
71,2461
71,3053
71,1785
71,72
71,3454
71,7768
1117,1302
1117,2461
1117,8129
1117,1891
1117,2097
1117,319
1117,5609
1117,2150
1117,550
1117,7768
1117,2553
1117,3186
1117,8817
72,8022
72,7658
72,1088
72,2553
72,198
72,3065
72,230
8022,7460
8022,2567
8022,6020
8022,4375
8022,3738
8022,7806
8022,7898
8022,7013
8022,7397
8022,6354
73,3233
73,4681
73,2777
73,173
73,9406
73,3532
73,5896
3233,2568
3233,2180
3233,4681
3233,1955
3233,173
3233,2421
3233,2205
3233,4622
3233,1956
3233,7193
3233,7115
74,1818
74,4184
74,4240
74,675
74,3592
74,2169
74,1754
1818,2242
1818,4649
1818,4861
1818,2445
1818,2705
1818,8293
1818,9365
1818,4120
76,8874
76,100
76,8280
76,910
76,8253
77,5217
77,7791
77,9227
